code_id,label,description
01,Điều khiển bằng giọng nói,"Khả năng điều khiển máy giặt bằng giọng nói, tiện lợi và tiết kiệm thời gian"
02,Tích hợp AI,"Sử dụng công nghệ AI để cải thiện trải nghiệm người dùng, tự động hóa và thông minh hơn"
03,Đèn LED chiếu sáng,Đèn LED bên trong lồng giặt giúp dễ dàng quan sát và nhận biết trạng thái giặt
04,Thiết kế bề mặt sang trọng,"Bề mặt vật liệu mô phỏng vân đá hoặc thiết kế hiện đại, tạo cảm giác cao cấp"
05,Bảng điều khiển gấp gọn,"Bảng điều khiển có thể gấp gọn, tiết kiệm diện tích và dễ vệ sinh"
06,Ngôn ngữ tiếng Việt,"Hỗ trợ điều khiển bằng giọng nói tiếng Việt, phù hợp với người dùng Việt Nam"
07,Khoảng cách điều khiển,"Khả năng điều khiển từ xa trong khoảng cách 2 mét, tiện lợi khi bận rộn"
08,Phù hợp mọi đối tượng,"Thiết kế dễ sử dụng cho mọi đối tượng, từ người già đến trẻ nhỏ"
09,Tự động chọn chương trình,"Tính năng tự động chọn chương trình giặt phù hợp, giảm suy nghĩ cho người dùng"
99,Khác / Other,Các ý không thuộc mã nào trên
